number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.765792 nan 111.196479 111.631409 111.689721 112.995119 112.052735 733.901608 112.006612 124.420994 111.775830
2 56.255188 nan 56.594018 62.201340 55.570983 56.460732 56.785334 374.492989 57.461941 62.107755 63.042677
4 28.820954 nan 29.054802 31.136922 27.790532 29.443409 29.170796 195.314469 29.255817 31.854434 31.474884
8 15.172705 nan 15.364499 15.489866 13.937994 16.182810 17.150583 99.555274 15.480870 15.446997 15.796248
16 8.587754 nan 8.899046 7.749140 7.018712 10.179314 11.142796 53.107324 8.640674 7.950000 7.825216
32 6.020040 nan 10.852772 4.956480 11.541259 7.741387 12.018958 27.838433 5.676483 4.979995 4.376547
64 5.701514 nan 10.292280 2.881763 12.378328 8.250962 12.125906 14.769871 4.141502 2.960565 2.626215
128 11.922322 nan 9.286396 2.072808 8.286589 12.729222 9.748161 9.457168 3.873585 2.112692 1.447566
256 15.700782 nan 7.682939 1.826512 6.472975 15.406819 8.149562 6.670740 4.219755 1.823506 1.355094
512 13.365051 nan 4.849586 2.807583 4.138271 14.717053 7.120641 5.561585 4.431601 1.720313 1.279118
1024 13.622741 nan 4.372088 3.814598 3.612283 15.105670 6.666347 5.062221 4.571243 1.803302 1.416768
2048 19.741349 nan 4.085802 3.787138 3.517488 25.975814 5.733178 4.742213 9.717080 1.764516 1.522368
4096 29.955836 nan 4.127156 4.160823 3.781734 34.087428 4.718432 4.897510 19.138589 1.874108 1.656160
8192 32.452234 nan 3.506227 4.066920 3.449423 36.639211 4.578025 4.718607 23.637947 2.100026 1.719752
16384 32.921537 nan 3.496662 4.321520 3.373620 34.230260 4.184528 4.777418 24.913481 2.024804 1.886082
32768 32.145235 nan 3.672822 4.423748 3.522318 34.194755 4.305025 4.985690 25.309993 2.532638 1.995310
65536 32.094501 nan 3.867872 4.023351 3.659685 33.738269 4.149979 4.818931 25.055121 3.353937 1.900414
131072 32.117281 nan 3.908261 3.948565 3.841476 33.579985 4.038005 4.888839 24.887414 13.308455 1.457892
262144 31.894054 nan 3.896755 3.975176 3.871111 33.344249 4.294899 4.955948 24.567789 30.939385 1.419347
524288 32.365517 nan 4.536596 4.467362 4.553348 33.276236 4.361468 5.012383 24.281840 62.616059 1.398559
1048576 31.854238 nan 5.940571 6.003006 5.899971 33.356479 5.126663 5.066720 24.409456 131.619416 1.416477
2097152 32.071988 nan 5.737925 5.842063 5.599011 33.479448 4.968085 5.102524 25.093812 254.774368 1.433197
4194304 31.941746 nan 5.957698 5.413872 6.020322 33.406558 5.889474 5.136057 25.104779 502.849162 1.437975
