number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.960236 nan 112.458355 112.394474 112.605474 112.040618 111.736505 738.467231 112.781986 125.665578 113.296457
2 56.183209 nan 57.598747 63.305267 55.997842 56.338245 56.241812 378.448038 57.256362 62.685747 63.463670
4 28.459864 nan 29.271160 31.476630 28.201042 28.575979 28.502570 196.104601 29.266106 31.666545 31.869491
8 14.482184 nan 14.675276 15.475634 13.988181 14.328820 14.823220 101.861669 14.833557 15.582026 15.896307
16 7.411496 nan 7.582720 7.797413 7.011855 7.419766 7.369073 52.493303 7.918744 7.717013 8.047816
32 3.873898 nan 4.501370 5.064838 4.447831 4.158422 4.867344 25.709662 4.763352 5.082288 4.359287
64 2.237947 nan 2.970119 2.927652 2.397812 2.254057 2.938369 15.480275 3.224215 2.937917 2.690186
128 1.754931 nan 2.122207 2.184566 1.830161 2.009085 2.027774 8.356205 2.750608 2.272317 1.484409
256 1.749755 nan 2.038942 1.861576 1.492096 1.863590 2.377752 5.050804 2.784488 1.853349 1.270855
512 1.761602 nan 1.933580 1.779591 1.526151 2.112402 2.614434 3.789985 2.850947 1.689872 1.265849
1024 1.957342 nan 1.987520 1.696618 1.479744 2.289258 3.097584 2.933332 2.924863 1.761167 1.326532
2048 2.155365 nan 2.144817 1.789657 1.537288 2.459030 3.462758 2.620635 3.306342 2.852052 1.520818
4096 2.391946 nan 2.147351 1.770467 1.552377 2.583243 4.312306 2.522188 3.129662 4.797571 1.598416
8192 2.644108 nan 2.320275 1.872876 1.666721 2.905334 5.885911 3.131450 3.286543 8.172543 1.750615
16384 2.818286 nan 2.799491 1.948205 1.766551 3.015157 6.429620 4.397077 3.481458 14.803334 1.866729
32768 2.963399 nan 3.483966 1.999837 1.803258 3.201329 7.224362 5.247062 3.597109 27.556966 2.020045
65536 3.165929 nan 3.788646 2.112040 2.011102 3.401720 7.556453 5.521370 3.757913 53.717248 2.108450
131072 3.369654 nan 4.150862 2.274874 2.115191 3.571207 8.230851 5.776701 3.952730 102.449738 2.236353
262144 3.668348 nan 4.595878 2.303041 2.404483 3.791650 8.508389 6.022820 4.080901 199.637397 2.463349
524288 3.848343 nan 4.956148 2.830436 2.768991 4.103617 8.690846 6.133685 4.348006 0 2.725426
1048576 4.075064 nan 4.818719 2.661537 2.697173 4.316072 8.987947 6.522296 4.585733 0 2.957720
2097152 4.261482 nan 4.930320 2.767145 2.839983 4.503874 9.062385 6.606641 4.742652 0 3.160012
4194304 4.787960 nan 5.173661 2.952035 3.003877 4.734864 9.258447 6.681191 4.939589 0 3.657440
