number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.518341 nan 111.826130 112.376319 111.598951 111.440063 111.397058 737.136372 112.696870 124.589686 112.372579
2 57.082058 nan 56.587293 63.040435 55.868911 55.888669 57.410859 376.631691 56.815847 63.083445 63.080473
4 28.939477 nan 28.338079 31.431355 27.842550 28.345510 28.832027 196.034898 29.047544 30.982414 31.377255
8 14.610457 nan 14.371608 16.087827 14.052685 14.471425 14.825083 101.112928 14.736762 15.660818 15.721223
16 7.507111 nan 7.406771 7.870955 7.060768 7.509291 7.787316 54.815811 7.577549 7.875162 7.972648
32 3.954501 nan 15.391124 4.768443 15.288143 4.179807 9.582071 29.497418 4.466714 4.641248 4.370523
64 2.216551 nan 6.136504 2.707894 6.124922 2.309250 6.889426 16.346279 3.021433 2.686881 2.630131
128 10.776934 nan 4.660393 1.961494 4.294815 10.252750 4.805469 11.200186 2.311057 1.943561 1.429417
256 8.574075 nan 2.810815 1.703139 2.724554 8.286770 2.693165 8.622084 2.027170 1.701123 1.222902
512 7.487247 nan 2.376458 2.396789 2.386097 7.597564 2.373449 7.326670 2.059339 17.065578 1.243249
1024 6.955190 nan 2.222835 2.275589 2.224581 7.074543 2.217091 6.696527 2.115741 42.027084 0.246259
2048 6.678733 nan 2.158669 2.159837 2.159664 6.679784 2.161259 6.535534 2.248183 83.601605 0.171286
4096 6.551047 nan 2.359272 2.340484 2.359411 6.549750 2.096418 6.404166 2.429187 176.158756 0.137929
8192 6.492490 nan 2.202303 2.192194 2.200309 6.509760 2.061382 6.399497 2.626687 347.168826 0.139276
16384 6.482072 nan 2.031927 2.032124 2.030499 6.458703 2.125250 6.376368 2.830950 679.990375 0.110810
32768 6.468971 nan 2.076787 2.084308 2.090758 6.457170 2.048875 6.361145 3.021770 1392.626070 0.105713
65536 6.434450 nan 2.118706 2.109285 2.112688 6.458579 2.028338 6.364011 3.261040 2757.062689 0.109056
131072 6.436952 nan 2.134432 2.130355 2.131790 6.447038 2.586342 6.335776 3.497418 5536.981850 0.120378
262144 6.425175 nan 2.623012 2.598246 2.627234 6.436034 2.600867 6.344852 3.689392 11481.635158 0.169500
524288 6.453804 nan 3.461364 3.475046 3.445642 6.468540 3.463090 6.387563 3.925164 0 0.151336
1048576 6.482070 nan 3.306323 3.264760 3.301251 6.496248 3.571745 6.385559 4.164929 0 0.164880
2097152 6.490324 nan 3.283024 3.311160 3.319854 6.504432 3.528685 6.454877 4.433724 0 0.175110
4194304 6.599156 nan 3.838289 3.807152 3.801364 6.817993 3.751535 6.393702 4.755387 0 0.160068
